municipio,regiao,nome,tipo,endereco,telefone,email,quantidade_ciptea,quantidade_cipf,quantidade_passe_livre
Quilombo,Oeste,APAE DE QUILOMBO,Passe Livre,"Rua Papa Pio XII, nº 1040, Nova Esperança - Quilombo/SC",(49) 3346-3079,apaequilombo@yahoo.com.br,0,0,0
Rancho Queimado,Grande Florianópolis,APAE DE RANCHO QUEIMADO,Todos,"Rua Vereador Celso Jasper, nº 109, Bairro Centro - Rancho Queimado",(48) 2100-1027,apaerqsc@gmail.com,0,0,0
Rio do Campo,Vale do Itajaí,APAE DE RIO DO CAMPO,Todos,Rua João Contezini,(47) 3564-1118,apaeriodocampo@yahoo.com.br,0,0,0
Rio do Sul,Vale do Itajaí,APAE DE RIO DO SUL,Todos,"Av Sete de Setembro, 467, Centro 88160000",(47) 3521-3468,contato@apaeriodosul.com.br,0,0,0
Rio Fortuna,Sul,APAE DE RIO FORTUNA,Todos,"Av Sete de Setembro, 1615",(48) 3653-1239,apaerf@hotmail.com,0,0,0
Rio Negrinho,Norte,APAE DE RIO NEGRINHO,CIPTEA,"Rodovia BR 280, nº 1540 / Bairro Vila Nova",(47) 3644-9635,apaesecretariarionegrinho@gmail.com,0,0,0
Salete,Vale do Itajaí,APAE DE SALETE,CIPTEA,"Rua Mathias Loc, nº 15 - Centro - Salete",(47) 3563-0192,apaesalete@yahoo.com.br,0,0,0
Salto Veloso,Oeste,APAE DE SALTO VELOSO,CIPTEA,"Rua João de Bortoli, 90 - Centro, 89595-000",(49) 3536-0561,apaesalto@acisv.com.br,0,0,0
Sangão,Sul,APAE DE SANGÃO,Todos,"Rua: 30 de Março, nº 550 - Centro - Sangão - CEP: 88717-000",(48) 3656-0585,apaedesangao@hotmail.com,0,0,0
Santa Cecília,Serra,APAE DE SANTA CECÍLIA,Todos,"Rua Guilherme Rauen, nº 785",(49) 3244-2434 / 3244-2521,apaesc@bol.com.br,0,0,0
Santa Rosa do Sul,Sul,APAE DE SANTA ROSA DO SUL,Todos,"Rua Rafael Pedro Fernandes, 260 Bairro Centro, 88965-000",(48) 3534-2929,apaesantarosadosulsc@hotmail.com,0,0,0
Santo Amaro da Imperatriz,Grande Florianópolis,APAE DE SANTO AMARO DA IMPERATRIZ,Todos,"Rua Leopoldo João Meurer nº 87, Centro, Santo Amaro da Imperatriz - SC, CEP 88140-000",(48) 3245-6206,apaesantoamaro@terra.com.br,0,0,0
São Carlos,Oeste,APAE DE SÃO CARLOS,Todos,"Rua Cerino Reischert, nº 180 – Centro -CEP: 89885000",(49) 3325-4899,apaesc.secretaria@gmail.com,0,0,0
São Domingos,Oeste,APAE DE SÃO DOMINGOS,Todos,"Rua Nereu Ramos, Nº 1037 - Centro",(49) 3443-1061,apaesd85@gmail.com,0,0,0
São João do Oeste,Oeste,APAE DE SÃO JOÃO DO OESTE,Passe Livre,"Rua do Imigrante, 50 - Centro - 89897-000",(49)3636-1135,apaesaojoaodooste@yahoo.com.br,0,0,0
São Joaquim,Serra,APAE DE SÃO JOAQUIM,Todos,"Rua Agripa de Castro Farias, nº 20",(49) 3233-1324,apaesaojoaquimsc@gmail.com,0,0,0
São José,Grande Florianópolis,Fundação Catatinense de Educação Especial FCEE,Todos,"R. Paulino Pedro Hermes, 2785 - Nossa Sra. do Rosario, São José - SC, 88110-694",(48) 3664-4948,passelivre@fcee.sc.gov.br,13859,2340,11234
São José do Cedro,Oeste,APAE DE SÃO JOSÉ DO CEDRO,Todos,"Rua Jacob Stein, nº 91 – Centro – São José do Cedro / SC - CEP: 89930-000",(49) 3643-1856,escolaespecialviviane@hotmail.com,0,0,0
São Lourenço do Oeste,Oeste,APAE DE SÃO LOURENÇO DO OESTE,Todos,"Rua Duque de Caxias, 940 – Centro – São Lourenço do Oeste/SC",(49) 3344-1404,apaeslo@yahoo.com.br,0,0,0
São Ludgero,Sul,APAE DE SÃO LUDGERO,Todos,"Rua Reinaldo Bruning, 315 Bairro Evolução - São Ludgero - SC",(48) 3657-0093,apaesaoludgero@gmail.com,0,0,0
São Martinho,Sul,APAE DE SÃO MARTINHO,Passe Livre,"Rua Francisco Beckhauser, nº 234 – Centro São Martinho – SC - CEP: 88765-000",(48) 3645-6137,apaesaomartinho@hotmail.com,0,0,0
São Miguel do Oeste,Oeste,APAE DE SÃO MIGUEL DO OESTE,Todos,"Rua Marcilio Dias, 3200. Bairro Jardim Peperi, São Miguel do Oeste/SC, 89.900-000",(49) 3622-6312,apaesmo@gmail.com,0,0,0
Siderópolis,Sul,APAE DE SIDERÓPOLIS,Todos,"Rua Diomício Freitas, nº 79 - Centro - Siderópolis / SC - CEP: 88.860-000",(48) 3435-3324,apaesideropolis@yahoo.com.br,0,0,0
Sombrio,Sul,APAE DE SOMBRIO,Todos,"Rua Emanuel Worffel, nº 883 – Bairro São Luis – Sombrio / SC – CEP: 88960-000",(48) 3533-0723,apae_sombrio@yahoo.com.br,0,0,0
Taió,Vale do Itajaí,APAE DE TAIÓ,Todos,Rod Bruno Heidrich - SC 422 - km 02 - nº 1588,(47) 3562-0269,apaetaio@yahoo.com.br,0,0,0
Tijucas,Grande Florianópolis,APAE DE TIJUCAS,Todos,"Av. Hercílio Luz, nº 380, Tijucas- 88.200-000",(48) 3263-0279,apaedetijucas@terra.com.br,0,0,0
Timbé do Sul,Sul,APAE DE TIMBÉ DO SUL,Todos,"Rua Pedro Panatta, nº 200 – Centro - CEP: 88.940-000 - Timbé Do Sul - SC",(48) 3536-1057,apaetimbe@hotmail.com,0,0,0
Timbó,Vale do Itajaí,APAE DE TIMBÓ,Todos,"Rua Capanema, nº 140 - Bairro Capitais – Timbó – CEP – 89120000",(47) 3382-0535,apaetimbosc@gmail.com,0,0,0
Três Barras,Norte,APAE DE TRÊS BARRAS,Todos,"Rua Joaçaba, nº 280 / Centro",(47) 3623-0205,apaetb@yahoo.com.br,0,0,0
Tubarão,Sul,APAE DE TUBARÃO,Todos,"Rua Lauro Muller, 3171 Passagem, 88705-101",(48) 3626-1312,contato@apaetubarao.org.br,0,0,0
Urubici,Serra,APAE DE URUBICI,Todos,"Rua Clarismundo José Custódio, nº 980",(49) 3278-4475,apaeurubici@hotmail.com,0,0,0
Urussanga,Sul,APAE DE URUSSANGA,Todos,"Rua Vidal Ramos, nº 261",(48) 3465-1586,apaeurussanga@engeplus.com.br,0,0,0
Vargem Bonita,Oeste,APAE DE VARGEM BONITA,Todos,"Rua José De Alencar, S/N – Centro - Vargem Bonita CEP: 89675-000",(49) 3548-0107,apaevb@yahoo.com.br,0,0,0
Videira,Oeste,AMA VIDEIRA,CIPTEA,"Rua Padre Anchieta, 1138 - Bairro Matriz - Videira CEP 89.560-250",(49) 3551-1897 / (49) 9159-7286,contato@amavideira.org.br,0,0,0
Xanxerê,Oeste,APAE DE XANXERE,Todos,"Rua Francisco Britz de Miranda, 305, Veneza 89820000",(49) 3433-1000,apaexxe@yahoo.com.br,0,0,0
Xaxim,Oeste,APAE DE XAXIM,Todos,"Rua Avelino Lunardi, 247, Ari Lunardi 898250-000",(49) 3353-8229,apaexxsc@desbrava.com.br,0,0,0
